2026/03/02 17:23:48.245, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:48.446, P0, 0 %, 28.56 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:48.646, P0, 0 %, 51.14 W, 1140 MHz, 1215 MHz, 31
2026/03/02 17:23:48.847, P0, 81 %, 167.42 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:49.047, P0, 100 %, 167.85 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:49.247, P0, 100 %, 168.76 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:23:49.448, P0, 100 %, 169.17 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:23:49.648, P0, 100 %, 169.57 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:23:49.848, P0, 99 %, 170.48 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:23:50.049, P0, 100 %, 171.31 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:23:50.249, P0, 100 %, 171.82 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:23:50.450, P0, 100 %, 171.82 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:23:50.650, P0, 100 %, 172.23 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:50.850, P0, 100 %, 172.23 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:51.051, P0, 100 %, 127.12 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:51.251, P0, 99 %, 171.82 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:51.451, P0, 100 %, 172.64 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:23:51.652, P0, 100 %, 172.64 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:51.852, P0, 100 %, 168.35 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:52.052, P0, 100 %, 168.76 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:52.253, P0, 100 %, 168.65 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:52.453, P0, 100 %, 168.76 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:52.653, P0, 100 %, 168.65 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:52.854, P0, 100 %, 168.65 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:53.054, P0, 100 %, 166.51 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:53.254, P0, 100 %, 168.65 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:23:53.455, P0, 100 %, 169.17 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:23:53.655, P0, 100 %, 124.19 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:23:53.855, P0, 97 %, 53.84 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:23:54.056, P0, 100 %, 53.41 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:23:54.256, P0, 50 %, 50.25 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:23:54.456, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:23:54.657, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:23:54.857, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:23:55.058, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:55.258, P0, 0 %, 49.83 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:55.458, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:55.659, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:55.859, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:23:56.059, P0, 0 %, 49.83 W, 285 MHz, 1215 MHz, 34
2026/03/02 17:23:56.260, P0, 0 %, 29.06 W, 285 MHz, 1215 MHz, 33
2026/03/02 17:23:56.460, P0, 0 %, 28.56 W, 240 MHz, 1215 MHz, 33
2026/03/02 17:23:56.660, P0, 0 %, 28.56 W, 225 MHz, 1215 MHz, 33
2026/03/02 17:23:56.861, P0, 0 %, 28.56 W, 210 MHz, 1215 MHz, 33
2026/03/02 17:23:57.061, P0, 0 %, 28.56 W, 210 MHz, 1215 MHz, 33
