2026/03/02 17:22:43.199, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:43.400, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 29
2026/03/02 17:22:43.600, P0, 0 %, 65.54 W, 1200 MHz, 1215 MHz, 32
2026/03/02 17:22:43.801, P0, 0 %, 192.90 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:22:44.001, P0, 86 %, 50.25 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:44.202, P0, 54 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:44.402, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:44.602, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:44.803, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:45.003, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:45.203, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:45.404, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:45.604, P0, 0 %, 49.32 W, 1410 MHz, 1215 MHz, 31
2026/03/02 17:22:45.804, P0, 0 %, 29.06 W, 285 MHz, 1215 MHz, 30
2026/03/02 17:22:46.005, P0, 0 %, 28.13 W, 270 MHz, 1215 MHz, 30
2026/03/02 17:22:46.205, P0, 0 %, 27.62 W, 240 MHz, 1215 MHz, 30
2026/03/02 17:22:46.406, P0, 0 %, 27.62 W, 225 MHz, 1215 MHz, 30
2026/03/02 17:22:46.606, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:46.806, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:47.007, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:47.207, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:47.408, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:47.608, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:47.808, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:48.009, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:48.209, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:48.409, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:22:48.610, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
