2026/03/02 17:34:32.772, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:34:32.873, P0, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:34:32.973, P0, 28.56 W, 1095 MHz, 1215 MHz, 30
2026/03/02 17:34:33.074, P0, 37.15 W, 1095 MHz, 1215 MHz, 30
2026/03/02 17:34:33.174, P0, 43.54 W, 1095 MHz, 1215 MHz, 31
2026/03/02 17:34:33.274, P0, 100.47 W, 1095 MHz, 1215 MHz, 32
2026/03/02 17:34:33.375, P0, 100.47 W, 1095 MHz, 1215 MHz, 33
2026/03/02 17:34:33.475, P0, 228.10 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:33.575, P0, 179.67 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:34:33.676, P0, 177.01 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:34:33.776, P0, 179.67 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:34:33.876, P0, 180.97 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:34:33.977, P0, 178.35 W, 1410 MHz, 1215 MHz, 38
2026/03/02 17:34:34.077, P0, 178.85 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:34:34.177, P0, 180.47 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:34:34.277, P0, 180.18 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:34:34.378, P0, 174.06 W, 1410 MHz, 1215 MHz, 39
2026/03/02 17:34:34.478, P0, 173.55 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:34:34.578, P0, 173.14 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:34:34.679, P0, 174.06 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:34:34.779, P0, 174.06 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:34:34.879, P0, 174.06 W, 1410 MHz, 1215 MHz, 40
2026/03/02 17:34:34.980, P0, 253.63 W, 1320 MHz, 1215 MHz, 41
2026/03/02 17:34:35.080, P0, 235.47 W, 1335 MHz, 1215 MHz, 42
2026/03/02 17:34:35.180, P0, 57.04 W, 1395 MHz, 1215 MHz, 39
2026/03/02 17:34:35.281, P0, 50.25 W, 1410 MHz, 1215 MHz, 37
2026/03/02 17:34:35.381, P0, 50.25 W, 1410 MHz, 1215 MHz, 36
2026/03/02 17:34:35.482, P0, 50.25 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:34:35.582, P0, 49.83 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:34:35.682, P0, 49.83 W, 1410 MHz, 1215 MHz, 35
2026/03/02 17:34:35.783, P0, 49.83 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:35.883, P0, 51.17 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:35.983, P0, 51.60 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:36.084, P0, 50.75 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:36.184, P0, 50.75 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:36.284, P0, 50.75 W, 1410 MHz, 1215 MHz, 34
2026/03/02 17:34:36.385, P0, 50.75 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.485, P0, 50.75 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.585, P0, 50.75 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.686, P0, 50.75 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.786, P0, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.886, P0, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:36.987, P0, 50.25 W, 1410 MHz, 1215 MHz, 33
2026/03/02 17:34:37.087, P0, 51.60 W, 285 MHz, 1215 MHz, 33
2026/03/02 17:34:37.187, P0, 28.13 W, 285 MHz, 1215 MHz, 33
2026/03/02 17:34:37.288, P0, 28.56 W, 270 MHz, 1215 MHz, 32
2026/03/02 17:34:37.388, P0, 28.56 W, 270 MHz, 1215 MHz, 32
